year,label,size_per_topic,size_per_year,pct
1957,Catholic church and deterrence,1,2,50.0
1957,U.S. defense budgeting and policy-making,1,2,50.0
1958,U.S. defense budgeting and policy-making,1,1,100.0
1959,Catholic church and deterrence,2,2,100.0
1960,Catholic church and deterrence,1,6,16.67
1960,Nuclear deterrence,3,6,50.0
1960,Russian nuclear security policy,1,6,16.67
1960,U.S. and maintaining of the World order,1,6,16.67
1961,'Perestroika' Cold War security issues,1,7,14.29
1961,Catholic church and deterrence,3,7,42.86
1961,Nuclear deterrence,2,7,28.57
1961,U.S. defense budgeting and policy-making,1,7,14.29
1962,Catholic church and deterrence,4,5,80.0
1962,U.S. and maintaining of the World order,1,5,20.0
1963,'Perestroika' Cold War security issues,1,4,25.0
1963,Catholic church and deterrence,2,4,50.0
1963,Nuclear deterrence,1,4,25.0
1964,Catholic church and deterrence,2,3,66.67
1964,Nuclear deterrence,1,3,33.33
1965,'Perestroika' Cold War security issues,2,10,20.0
1965,Catholic church and deterrence,3,10,30.0
1965,MENA region security issues,1,10,10.0
1965,Nuclear deterrence,2,10,20.0
1965,U.S. and maintaining of the World order,1,10,10.0
1965,U.S. defense budgeting and policy-making,1,10,10.0
1966,Anti-Ballistic missile defense,1,5,20.0
1966,Catholic church and deterrence,2,5,40.0
1966,Nuclear deterrence,1,5,20.0
1966,U.S. and maintaining of the World order,1,5,20.0
1967,'Perestroika' Cold War security issues,1,3,33.33
1967,Catholic church and deterrence,2,3,66.67
1968,Catholic church and deterrence,3,4,75.0
1968,U.S. and maintaining of the World order,1,4,25.0
1969,Catholic church and deterrence,4,7,57.14
1969,Non-Proliferation,1,7,14.29
1969,Nuclear deterrence,1,7,14.29
1969,Russian nuclear security policy,1,7,14.29
1970,'Perestroika' Cold War security issues,1,4,25.0
1970,Asia-Pacific region security issues,1,4,25.0
1970,Catholic church and deterrence,1,4,25.0
1970,U.S. defense budgeting and policy-making,1,4,25.0
1971,'Perestroika' Cold War security issues,1,9,11.11
1971,Catholic church and deterrence,5,9,55.56
1971,U.S. and maintaining of the World order,3,9,33.33
1972,'Perestroika' Cold War security issues,1,4,25.0
1972,Catholic church and deterrence,2,4,50.0
1972,U.S. and maintaining of the World order,1,4,25.0
1973,Catholic church and deterrence,1,6,16.67
1973,Nuclear deterrence,1,6,16.67
1973,U.S. and maintaining of the World order,1,6,16.67
1973,U.S. defense budgeting and policy-making,1,6,16.67
